"ID";"Name";"StructureID";"Disabled";"SysexID";"Description";"Min";"Max";"Default";"JuceControl";"Label";"Field";"Tooltip"
46;"&globals.noteCalCurrent";;1;;"&globals.noteCalCurrent";0;127;0;"ComboBox";-0;"Hardware";
47;"last_received_preset";2;;;"last_received_preset";0;255;0;"ComboBox";-0;"Hardware";
48;"tune_pot_edit";8;;48;"tune_pot_edit";0;1;1;"ComboBox";"|Tune| |Edit|";"Hardware";
49;"lightshow_mode";4;1;;"lightshow_mode";0;1;0;"ComboBox";-0;"Hardware";
50;"led_brightness";54;;50;"led_brightness";0;255;82;"Slider";"|0| |1| |2| |3| |4| |5| |6| |7| |8| |9| |10| |11| |12| |13| |14| |15| |16| |17| |18| |19| |20| |21| |22| |23| |24| |25| |26| |27| |28| |29| |30| |31| |32| |33| |34| |35| |36| |37| |38| |39| |40| |41| |42| |43| |44| |45| |46| |47| |48| |49| |50| |51| |52| |53| |54| |55| |56| |57| |58| |59| |60| |61| |62| |63| |64| |65| |66| |67| |68| |69| |70| |71| |72| |73| |74| |75| |76| |77| |78| |79| |80| |81| |82| |83| |84| |85| |86| |87| |88| |89| |90| |91| |92| |93| |94| |95| |96| |97| |98| |99| |100| |101| |102| |103| |104| |105| |106| |107| |108| |109| |110| |111| |112| |113| |114| |115| |116| |117| |118| |119| |120| |121| |122| |123| |124| |125| |126| |127| |128| |129| |130| |131| |132| |133| |134| |135| |136| |137| |138| |139| |140| |141| |142| |143| |144| |145| |146| |147| |148| |149| |150| |151| |152| |153| |154| |155| |156| |157| |158| |159| |160| |161| |162| |163| |164| |165| |166| |167| |168| |169| |170| |171| |172| |173| |174| |175| |176| |177| |178| |179| |180| |181| |182| |183| |184| |185| |186| |187| |188| |189| |190| |191| |192| |193| |194| |195| |196| |197| |198| |199| |200| |201| |202| |203| |204| |205| |206| |207| |208| |209| |210| |211| |212| |213| |214| |215| |216| |217| |218| |219| |220| |221| |222| |223| |224| |225| |226| |227| |228| |229| |230| |231| |232| |233| |234| |235| |236| |237| |238| |239| |240| |241| |242| |243| |244| |245| |246| |247| |248| |249| |250| |251| |252| |253| |254| |255| ";"Hardware";
51;"send_clock";55;;51;"send_clock";0;2;;"ComboBox";"|Off| |Arp| |On|";"Hardware";
52;"send_start_stop";56;;52;"send_start_stop";0;1;;"ComboBox";"|Off| |On|";"Hardware";
53;"pitch_variance_int";57;;53;"pitch_variance_int";0;400;;"Slider";;;
54;"ext_vol_map";58;;54;"ext_vol_map";0;255;;"ComboBox";;;
55;"ext_pitch_map";59;;55;"ext_pitch_map";0;255;;"ComboBox";;;
56;"ext_gate_map";60;;56;"ext_gate_map";0;255;;"ComboBox";;;
57;"ext_gate_invert";61;;57;"ext_gate_invert";0;1;;"ComboBox";"|Off| |On|";;
58;"map_per_preset";62;;58;"map_per_preset";0;1;;"ComboBox";"|Off| |On|";;
59;"seq_delay_pgm_chg";63;;59;"seq_delay_pgm_chg";0;1;;"ComboBox";"|Off| |On|";;
60;"seq_latch_restart";64;;60;"seq_latch_restart";0;1;;"ComboBox";"|Off| |On|";;
61;"follow_spp";65;;61;"follow_spp";0;1;;"ComboBox";"|Off| |On|";;
